Field ID,Crop
42321,Wine grapes
83355,Wine grapes
11758,Wine grapes
33526,Fallow
80763,Fallow
40749,Fallow
15271,Fallow
72814,Fallow
40094,Fallow
114854,Fallow
63897,Fallow
117745,Fallow
77001,Fallow
97021,Fallow
1502,Fallow
16495,Fallow
94604,Fallow
64583,Fallow
77917,Fallow
79715,Fallow
43624,Fallow
116581,Fallow
82682,Fallow
35427,Small grain grazing
39168,Planted pastures (perennial)
37123,Small grain grazing
62484,Small grain grazing
79343,Fallow
113447,Lucerne/Medics
105795,Lucerne/Medics
54597,Small grain grazing
90062,Lucerne/Medics
3914,Planted pastures (perennial)
33886,Fallow
109397,Fallow
26130,Fallow
18310,Wine grapes
111358,Wine grapes
52703,Fallow
85051,Fallow
71606,Planted pastures (perennial)
28790,Planted pastures (perennial)
56752,Planted pastures (perennial)
115375,Small grain grazing
15074,Small grain grazing
67655,Small grain grazing
121457,Planted pastures (perennial)
114300,Planted pastures (perennial)
114115,Planted pastures (perennial)
110473,Planted pastures (perennial)
15123,Planted pastures (perennial)
85684,Planted pastures (perennial)
83430,Planted pastures (perennial)
106425,Planted pastures (perennial)
116792,Planted pastures (perennial)
53883,Planted pastures (perennial)
29253,Small grain grazing
84098,Planted pastures (perennial)
53698,Planted pastures (perennial)
98361,Planted pastures (perennial)
11166,Planted pastures (perennial)
67569,Planted pastures (perennial)
21,Planted pastures (perennial)
7265,Planted pastures (perennial)
48014,Planted pastures (perennial)
34991,Planted pastures (perennial)
35264,Planted pastures (perennial)
52318,Planted pastures (perennial)
64793,Planted pastures (perennial)
21204,Small grain grazing
42913,Small grain grazing
99467,Planted pastures (perennial)
24012,Small grain grazing
104160,Weeds
116739,Planted pastures (perennial)
15950,Planted pastures (perennial)
35352,Planted pastures (perennial)
33625,Planted pastures (perennial)
19726,Planted pastures (perennial)
28831,Small grain grazing
75304,Planted pastures (perennial)
36539,Planted pastures (perennial)
19956,Fallow
116655,Lucerne/Medics
77228,Lucerne/Medics
41526,Lucerne/Medics
121902,Lucerne/Medics
82497,Lucerne/Medics
66270,Lucerne/Medics
105550,Lucerne/Medics
49174,Lucerne/Medics
11836,Lucerne/Medics
62686,Lucerne/Medics
96454,Lucerne/Medics
37925,Fallow
57173,Planted pastures (perennial)
92548,Fallow
11773,Fallow
89626,Planted pastures (perennial)
93048,Planted pastures (perennial)
64628,Planted pastures (perennial)
82780,Planted pastures (perennial)
11640,Planted pastures (perennial)
64699,Planted pastures (perennial)
12306,Planted pastures (perennial)
8400,Wine grapes
13123,Wine grapes
91970,Planted pastures (perennial)
16637,Planted pastures (perennial)
92428,Planted pastures (perennial)
15357,Planted pastures (perennial)
5694,Wine grapes
97853,Wine grapes
74054,Planted pastures (perennial)
72932,Planted pastures (perennial)
22720,Fallow
67114,Wine grapes
39436,Small grain grazing
48641,Wine grapes
100418,Wine grapes
119764,Wheat
111188,Wheat
110809,Wine grapes
23490,Lucerne/Medics
70971,Lucerne/Medics
53468,Lucerne/Medics
33826,Lucerne/Medics
116007,Small grain grazing
76973,Small grain grazing
34291,Small grain grazing
6439,Weeds
19238,Weeds
75406,Fallow
72949,Fallow
111663,Weeds
8210,Weeds
46186,Fallow
43017,Fallow
40694,Fallow
62334,Fallow
66812,Small grain grazing
7750,Fallow
117903,Small grain grazing
46451,Small grain grazing
107262,Small grain grazing
9602,Small grain grazing
63084,Planted pastures (perennial)
2105,Small grain grazing
12457,Weeds
120045,Weeds
119021,Fallow
65094,Weeds
32716,Weeds
72901,Rooibos
118211,Fallow
74033,Rooibos
82594,Rooibos
2221,Rooibos
42118,Rooibos
62955,Rooibos
31434,Planted pastures (perennial)
71109,Planted pastures (perennial)
82071,Planted pastures (perennial)
9645,Planted pastures (perennial)
11176,Planted pastures (perennial)
84040,Planted pastures (perennial)
14811,Rooibos
3672,Planted pastures (perennial)
106267,Planted pastures (perennial)
96244,Fallow
75796,Rooibos
22491,Planted pastures (perennial)
69090,Weeds
49792,Planted pastures (perennial)
82413,Planted pastures (perennial)
116929,Rooibos
96404,Rooibos
104642,Rooibos
100492,Rooibos
15178,Weeds
15008,Planted pastures (perennial)
81253,Planted pastures (perennial)
33687,Planted pastures (perennial)
16647,Planted pastures (perennial)
54644,Planted pastures (perennial)
82964,Small grain grazing
89741,Small grain grazing
83990,Small grain grazing
101008,Small grain grazing
27956,Planted pastures (perennial)
33531,Planted pastures (perennial)
20215,Lucerne/Medics
14965,Small grain grazing
101712,Wheat
5989,Small grain grazing
60346,Planted pastures (perennial)
13903,Wheat
45171,Planted pastures (perennial)
14123,Wheat
26177,Lucerne/Medics
6242,Lucerne/Medics
118310,Lucerne/Medics
67638,Lucerne/Medics
28192,Wheat
5320,Planted pastures (perennial)
72768,Wheat
61227,Wheat
109675,Wheat
77637,Wheat
94958,Canola
92368,Wheat
98697,Wheat
97630,Wheat
70864,Wheat
22067,Wheat
72089,Wheat
107301,Wheat
94835,Wheat
114293,Wheat
110435,Wheat
17430,Wheat
116622,Canola
55436,Canola
62461,Wheat
25109,Wheat
93193,Wheat
77212,Wheat
37905,Wheat
61042,Wheat
50637,Wheat
64762,Lucerne/Medics
116976,Canola
13873,Wheat
82525,Canola
26875,Canola
43741,Planted pastures (perennial)
98792,Wheat
18910,Wheat
82467,Wheat
79479,Canola
36565,Wheat
38582,Wheat
20232,Wheat
111938,Planted pastures (perennial)
31586,Planted pastures (perennial)
29414,Planted pastures (perennial)
36816,Wine grapes
56284,Wheat
89188,Wine grapes
56329,Wine grapes
69761,Wine grapes
6638,Wine grapes
42029,Wine grapes
99202,Wheat
21523,Planted pastures (perennial)
107831,Wheat
15148,Wheat
111888,Wheat
42749,Wheat
54446,Wheat
103756,Wine grapes
14299,Wine grapes
7116,Wheat
73193,Wheat
93817,Wheat
113702,Planted pastures (perennial)
9088,Wheat
55572,Wine grapes
61166,Wine grapes
36224,Wine grapes
24179,Wine grapes
101182,Wine grapes
25678,Wine grapes
7749,Wheat
38238,Wheat
67085,Wheat
29801,Wheat
99493,Planted pastures (perennial)
109301,Planted pastures (perennial)
98716,Planted pastures (perennial)
83031,Wheat
60353,Wheat
47333,Wine grapes
53970,Wheat
23838,Wine grapes
45126,Planted pastures (perennial)
5038,Wheat
74447,Wheat
116376,Lucerne/Medics
33599,Planted pastures (perennial)
106215,Planted pastures (perennial)
119201,Planted pastures (perennial)
34459,Small grain grazing
40588,Small grain grazing
59884,Wheat
22555,Wheat
69847,Planted pastures (perennial)
18530,Wine grapes
87222,Wine grapes
28420,Wheat
121097,Planted pastures (perennial)
20353,Lucerne/Medics
118041,Wheat
42236,Wine grapes
107940,Planted pastures (perennial)
104950,Wheat
2154,Wheat
72770,Wheat
84505,Planted pastures (perennial)
77054,Fallow
76247,Wheat
111120,Wheat
37114,Wheat
115487,Fallow
98494,Fallow
29708,Weeds
26196,Rooibos
29159,Rooibos
115234,Rooibos
54521,Rooibos
40180,Rooibos
74937,Rooibos
82693,Fallow
17204,Fallow
45303,Planted pastures (perennial)
76735,Planted pastures (perennial)
90145,Small grain grazing
101538,Planted pastures (perennial)
45360,Fallow
16763,Planted pastures (perennial)
59183,Weeds
103699,Small grain grazing
68625,Weeds
35763,Small grain grazing
14309,Weeds
29645,Weeds
107429,Small grain grazing
15767,Weeds
47623,Fallow
35037,Small grain grazing
20575,Planted pastures (perennial)
95961,Planted pastures (perennial)
71896,Planted pastures (perennial)
37969,Planted pastures (perennial)
84851,Planted pastures (perennial)
107456,Weeds
10603,Small grain grazing
68425,Small grain grazing
78636,Small grain grazing
17341,Small grain grazing
116095,Weeds
120237,Weeds
106371,Weeds
12831,Weeds
20796,Small grain grazing
49206,Small grain grazing
92377,Small grain grazing
75081,Small grain grazing
69098,Weeds
75163,Small grain grazing
57420,Small grain grazing
37712,Weeds
19161,Planted pastures (perennial)
71227,Planted pastures (perennial)
62914,Weeds
39474,Small grain grazing
46366,Planted pastures (perennial)
60439,Weeds
56243,Planted pastures (perennial)
69710,Planted pastures (perennial)
2321,Weeds
72987,Weeds
27669,Weeds
48059,Small grain grazing
12941,Small grain grazing
19541,Weeds
83861,Planted pastures (perennial)
63137,Planted pastures (perennial)
89164,Weeds
101209,Planted pastures (perennial)
96865,Weeds
87878,Planted pastures (perennial)
15608,Small grain grazing
84211,Planted pastures (perennial)
56715,Weeds
53178,Fallow
117882,Planted pastures (perennial)
102135,Small grain grazing
121529,Small grain grazing
56421,Small grain grazing
116018,Planted pastures (perennial)
71330,Weeds
88445,Weeds
87487,Weeds
43190,Fallow
82483,Fallow
6436,Fallow
17631,Fallow
80676,Small grain grazing
102050,Fallow
97745,Fallow
107476,Fallow
91707,Planted pastures (perennial)
91408,Small grain grazing
113622,Planted pastures (perennial)
83578,Small grain grazing
55620,Fallow
27412,Weeds
33632,Small grain grazing
44615,Weeds
116363,Weeds
74233,Weeds
109733,Weeds
41166,Canola
50246,Rooibos
13742,Rooibos
55933,Rooibos
54840,Rooibos
46604,Rooibos
114733,Weeds
34425,Rooibos
44297,Rooibos
27083,Rooibos
54094,Rooibos
60544,Fallow
98127,Rooibos
89570,Rooibos
98818,Rooibos
80644,Rooibos
89210,Rooibos
40359,Rooibos
52467,Rooibos
79304,Rooibos
47182,Weeds
25782,Weeds
115580,Weeds
60669,Rooibos
21575,Weeds
83871,Rooibos
86334,Weeds
20567,Weeds
78328,Rooibos
90374,Rooibos
69061,Weeds
31430,Weeds
5092,Fallow
57704,Weeds
113527,Weeds
50853,Rooibos
65308,Weeds
66954,Rooibos
12674,Rooibos
56477,Weeds
57,Rooibos
40454,Fallow
13914,Rooibos
68283,Weeds
32222,Rooibos
9720,Rooibos
57852,Rooibos
116684,Rooibos
48924,Rooibos
85437,Rooibos
120205,Rooibos
8003,Rooibos
65460,Fallow
52192,Weeds
105653,Weeds
78628,Weeds
81864,Weeds
83251,Fallow
32943,Fallow
65136,Weeds
23278,Fallow
64694,Fallow
115295,Fallow
45774,Fallow
49953,Fallow
94034,Weeds
102928,Fallow
94166,Fallow
120335,Fallow
2007,Fallow
72693,Weeds
36914,Fallow
16641,Weeds
39381,Fallow
10036,Fallow
101864,Fallow
120227,Fallow
68531,Planted pastures (perennial)
82210,Planted pastures (perennial)
36418,Planted pastures (perennial)
30378,Weeds
73124,Planted pastures (perennial)
85723,Planted pastures (perennial)
83700,Fallow
112552,Rooibos
71463,Rooibos
49274,Planted pastures (perennial)
10857,Planted pastures (perennial)
75711,Lucerne/Medics
8695,Wine grapes
7486,Small grain grazing
40465,Planted pastures (perennial)
65904,Fallow
107722,Small grain grazing
59871,Wheat
88216,Lucerne/Medics
77989,Lucerne/Medics
27747,Lucerne/Medics
111036,Lucerne/Medics
119116,Lucerne/Medics
84102,Lucerne/Medics
69191,Lucerne/Medics
61299,Lucerne/Medics
85143,Lucerne/Medics
78101,Lucerne/Medics
63003,Lucerne/Medics
73247,Lucerne/Medics
47236,Lucerne/Medics
96942,Lucerne/Medics
116556,Lucerne/Medics
2673,Lucerne/Medics
62652,Lucerne/Medics
74476,Lucerne/Medics
102273,Lucerne/Medics
102007,Lucerne/Medics
2400,Lucerne/Medics
43063,Lucerne/Medics
48143,Wheat
97398,Wheat
23155,Wheat
51536,Wheat
64522,Fallow
3458,Lucerne/Medics
35406,Lucerne/Medics
101960,Lucerne/Medics
64581,Lucerne/Medics
38868,Lucerne/Medics
25291,Rooibos
91878,Weeds
56764,Weeds
44885,Weeds
39740,Weeds
3183,Weeds
89795,Weeds
39541,Weeds
53710,Weeds
74670,Planted pastures (perennial)
63435,Weeds
70706,Weeds
36508,Weeds
103383,Weeds
38486,Weeds
17017,Weeds
69168,Weeds
117855,Weeds
119543,Weeds
30110,Weeds
101355,Weeds
113165,Weeds
121283,Weeds
87864,Weeds
24274,Weeds
10668,Weeds
17991,Weeds
55728,Weeds
6397,Fallow
26283,Weeds
55742,Fallow
26814,Weeds
45066,Weeds
77301,Weeds
105076,Weeds
27142,Fallow
98584,Weeds
84581,Fallow
96650,Fallow
98865,Fallow
38116,Fallow
85765,Fallow
60180,Fallow
80730,Fallow
50189,Fallow
25249,Weeds
28085,Fallow
92066,Fallow
17674,Fallow
11569,Planted pastures (perennial)
77445,Weeds
80452,Fallow
70595,Fallow
53920,Fallow
3043,Fallow
41284,Planted pastures (perennial)
36029,Weeds
119916,Fallow
69824,Fallow
64121,Wine grapes
34688,Wine grapes
19602,Wheat
9512,Wine grapes
119945,Wine grapes
120751,Wheat
63535,Wine grapes
23780,Wheat
20847,Canola
81937,Wine grapes
98678,Small grain grazing
86541,Small grain grazing
18512,Planted pastures (perennial)
91283,Small grain grazing
58973,Small grain grazing
75815,Small grain grazing
6582,Small grain grazing
91045,Weeds
18997,Small grain grazing
100957,Small grain grazing
43836,Small grain grazing
37592,Small grain grazing
116025,Small grain grazing
36018,Small grain grazing
48829,Small grain grazing
104225,Planted pastures (perennial)
32902,Small grain grazing
119922,Small grain grazing
107768,Small grain grazing
122348,Small grain grazing
9267,Small grain grazing
24008,Small grain grazing
108097,Small grain grazing
32594,Small grain grazing
100297,Small grain grazing
104859,Small grain grazing
121869,Planted pastures (perennial)
23294,Planted pastures (perennial)
46282,Planted pastures (perennial)
37637,Small grain grazing
35490,Small grain grazing
79042,Small grain grazing
122570,Small grain grazing
105066,Small grain grazing
85573,Small grain grazing
9049,Wheat
86511,Canola
72371,Wine grapes
51452,Wine grapes
99802,Wine grapes
49102,Planted pastures (perennial)
101234,Wine grapes
12506,Wine grapes
35584,Wine grapes
116855,Wine grapes
111730,Wine grapes
58074,Wine grapes
80725,Wine grapes
34115,Wine grapes
11746,Wine grapes
38189,Wine grapes
93385,Wine grapes
4600,Wine grapes
118879,Wine grapes
97408,Wine grapes
104992,Wine grapes
26827,Planted pastures (perennial)
112732,Planted pastures (perennial)
80500,Planted pastures (perennial)
119076,Wine grapes
21420,Wine grapes
33542,Planted pastures (perennial)
72124,Small grain grazing
102406,Small grain grazing
90155,Planted pastures (perennial)
17526,Planted pastures (perennial)
25455,Small grain grazing
4460,Wheat
120001,Planted pastures (perennial)
47750,Planted pastures (perennial)
74309,Small grain grazing
87235,Small grain grazing
116165,Small grain grazing
29292,Small grain grazing
38690,Wheat
93339,Small grain grazing
44352,Wine grapes
69871,Small grain grazing
11387,Planted pastures (perennial)
51523,Wheat
21709,Small grain grazing
72539,Small grain grazing
42601,Weeds
17996,Planted pastures (perennial)
105412,Lucerne/Medics
116946,Planted pastures (perennial)
46561,Lucerne/Medics
1877,Lucerne/Medics
67392,Planted pastures (perennial)
52695,Planted pastures (perennial)
120039,Planted pastures (perennial)
2993,Lucerne/Medics
117415,Planted pastures (perennial)
52020,Planted pastures (perennial)
105752,Planted pastures (perennial)
103285,Planted pastures (perennial)
112724,Planted pastures (perennial)
13547,Planted pastures (perennial)
60488,Planted pastures (perennial)
19031,Weeds
57030,Planted pastures (perennial)
61653,Planted pastures (perennial)
37603,Planted pastures (perennial)
21121,Lucerne/Medics
2953,Lucerne/Medics
77511,Lucerne/Medics
78881,Lucerne/Medics
10240,Lucerne/Medics
12802,Weeds
103264,Weeds
291,Lucerne/Medics
2487,Lucerne/Medics
86010,Weeds
34910,Weeds
15142,Small grain grazing
31021,Small grain grazing
89273,Small grain grazing
52359,Small grain grazing
42819,Small grain grazing
266,Small grain grazing
52133,Small grain grazing
59244,Small grain grazing
95140,Small grain grazing
12072,Small grain grazing
32746,Planted pastures (perennial)
101702,Weeds
68427,Planted pastures (perennial)
70749,Planted pastures (perennial)
39234,Weeds
103769,Fallow
33458,Rooibos
120437,Rooibos
53413,Small grain grazing
95885,Fallow
49348,Small grain grazing
6598,Wheat
7587,Rooibos
72541,Wheat
29861,Lucerne/Medics
36322,Planted pastures (perennial)
108470,Rooibos
121319,Lucerne/Medics
92844,Rooibos
67139,Small grain grazing
70848,Small grain grazing
41073,Rooibos
24824,Rooibos
46630,Small grain grazing
28147,Fallow
17609,Rooibos
56157,Small grain grazing
120778,Canola
6482,Canola
108457,Fallow
51382,Fallow
13507,Canola
5433,Canola
23886,Wheat
13740,Rooibos
115585,Rooibos
96694,Planted pastures (perennial)
72661,Rooibos
107606,Wheat
67162,Wheat
20290,Wheat
18915,Lucerne/Medics
42132,Wheat
116886,Wheat
25513,Wheat
39170,Wheat
7592,Wheat
37988,Wheat
87383,Wheat
96120,Wheat
39673,Wheat
75749,Wheat
79208,Wheat
39812,Wheat
28437,Canola
117001,Canola
57876,Canola
83905,Wheat
67280,Canola
120072,Wheat
104424,Wheat
2707,Wheat
25571,Wheat
101961,Wheat
90450,Wheat
80432,Wheat
84257,Wheat
12781,Wheat
23606,Wheat
47525,Wheat
92661,Wheat
84900,Wheat
122367,Wheat
46297,Wheat
8042,Wheat
7688,Wheat
92009,Wheat
82537,Canola
108379,Wheat
41219,Wheat
90828,Canola
13281,Wheat
73054,Wheat
77533,Lucerne/Medics
120713,Planted pastures (perennial)
84747,Lucerne/Medics
71561,Planted pastures (perennial)
46666,Planted pastures (perennial)
49961,Lucerne/Medics
66952,Lucerne/Medics
102703,Small grain grazing
44595,Lucerne/Medics
44123,Lucerne/Medics
14352,Lucerne/Medics
117439,Lucerne/Medics
94442,Lucerne/Medics
122643,Lucerne/Medics
17179,Lucerne/Medics
21851,Lucerne/Medics
46022,Lucerne/Medics
71903,Lucerne/Medics
48105,Lucerne/Medics
58660,Lucerne/Medics
54831,Lucerne/Medics
24524,Lucerne/Medics
31031,Lucerne/Medics
74792,Lucerne/Medics
12663,Lucerne/Medics
95888,Fallow
13347,Small grain grazing
82817,Small grain grazing
17338,Small grain grazing
54856,Small grain grazing
74609,Lucerne/Medics
38741,Lucerne/Medics
81511,Fallow
97809,Fallow
58844,Fallow
69584,Lucerne/Medics
78428,Lucerne/Medics
118411,Lucerne/Medics
84638,Lucerne/Medics
121527,Lucerne/Medics
21255,Lucerne/Medics
95741,Lucerne/Medics
100173,Lucerne/Medics
47408,Planted pastures (perennial)
75931,Lucerne/Medics
34128,Lucerne/Medics
64319,Lucerne/Medics
121776,Lucerne/Medics
25616,Lucerne/Medics
19800,Small grain grazing
88204,Planted pastures (perennial)
45182,Planted pastures (perennial)
102625,Weeds
44133,Lucerne/Medics
55413,Weeds
95499,Lucerne/Medics
48200,Lucerne/Medics
107395,Lucerne/Medics
114645,Wheat
96189,Weeds
48848,Planted pastures (perennial)
36623,Weeds
49316,Lucerne/Medics
115030,Lucerne/Medics
26434,Lucerne/Medics
116757,Lucerne/Medics
2746,Small grain grazing
51863,Small grain grazing
11621,Small grain grazing
36524,Lucerne/Medics
114029,Lucerne/Medics
79509,Lucerne/Medics
66744,Lucerne/Medics
14104,Planted pastures (perennial)
59987,Weeds
53380,Planted pastures (perennial)
23421,Planted pastures (perennial)
50402,Planted pastures (perennial)
116659,Planted pastures (perennial)
21977,Planted pastures (perennial)
86769,Planted pastures (perennial)
17367,Fallow
8971,Wheat
21527,Planted pastures (perennial)
47188,Fallow
97935,Rooibos
97726,Fallow
7660,Small grain grazing
94053,Fallow
2169,Small grain grazing
48486,Small grain grazing
82892,Small grain grazing
4563,Canola
23471,Canola
81036,Wheat
118075,Wheat
87110,Planted pastures (perennial)
25804,Lucerne/Medics
83241,Wheat
85171,Small grain grazing
51601,Fallow
39342,Small grain grazing
26191,Planted pastures (perennial)
39475,Planted pastures (perennial)
21712,Fallow
91314,Fallow
29904,Wheat
36003,Small grain grazing
97814,Small grain grazing
42090,Planted pastures (perennial)
18612,Planted pastures (perennial)
46371,Planted pastures (perennial)
71499,Planted pastures (perennial)
112832,Small grain grazing
79906,Weeds
12046,Weeds
17163,Fallow
12818,Small grain grazing
17913,Fallow
98731,Weeds
80336,Fallow
65869,Planted pastures (perennial)
35712,Wheat
19318,Planted pastures (perennial)
23270,Planted pastures (perennial)
43401,Fallow
24292,Fallow
89357,Fallow
20961,Planted pastures (perennial)
31975,Small grain grazing
40148,Planted pastures (perennial)
86244,Planted pastures (perennial)
89895,Planted pastures (perennial)
90664,Planted pastures (perennial)
80278,Wheat
53508,Weeds
45823,Canola
56393,Canola
16274,Weeds
47914,Weeds
122282,Weeds
48593,Fallow
1742,Fallow
37142,Fallow
91639,Weeds
66715,Canola
98749,Canola
93525,Weeds
89286,Fallow
97190,Weeds
52694,Weeds
85855,Wheat
57821,Weeds
75884,Fallow
64200,Fallow
44351,Fallow
14964,Fallow
16628,Weeds
72061,Weeds
87245,Weeds
29577,Weeds
9225,Weeds
16236,Fallow
4138,Small grain grazing
37282,Small grain grazing
88890,Wine grapes
105758,Fallow
114859,Fallow
55344,Fallow
101786,Fallow
16113,Fallow
112673,Planted pastures (perennial)
87699,Wine grapes
115795,Planted pastures (perennial)
77491,Planted pastures (perennial)
74583,Wine grapes
58809,Fallow
44689,Fallow
48064,Fallow
21360,Fallow
75913,Fallow
30675,Fallow
26334,Fallow
11259,Fallow
58967,Fallow
65400,Small grain grazing
91557,Planted pastures (perennial)
87405,Wine grapes
100830,Wine grapes
47719,Wine grapes
65808,Wine grapes
17868,Wine grapes
55512,Wine grapes
9276,Wine grapes
57995,Wine grapes
114638,Planted pastures (perennial)
67880,Wine grapes
22386,Wine grapes
61165,Wine grapes
113142,Planted pastures (perennial)
88938,Wine grapes
94391,Wine grapes
88148,Fallow
120481,Weeds
75258,Fallow
31827,Planted pastures (perennial)
6958,Wine grapes
73397,Wine grapes
107397,Wine grapes
33425,Wine grapes
58684,Wine grapes
14233,Weeds
98657,Wine grapes
4375,Wine grapes
61103,Wine grapes
70478,Fallow
98768,Wine grapes
1981,Fallow
3431,Wine grapes
661,Weeds
85317,Weeds
18116,Small grain grazing
102467,Small grain grazing
69246,Small grain grazing
69361,Small grain grazing
83859,Small grain grazing
34106,Small grain grazing
81686,Lucerne/Medics
19155,Lucerne/Medics
54800,Lucerne/Medics
85028,Lucerne/Medics
41815,Wine grapes
60574,Fallow
101205,Weeds
7421,Weeds
77011,Weeds
113015,Weeds
367,Lucerne/Medics
101635,Lucerne/Medics
70799,Lucerne/Medics
120521,Lucerne/Medics
20157,Lucerne/Medics
83186,Lucerne/Medics
72766,Lucerne/Medics
1820,Lucerne/Medics
45958,Lucerne/Medics
56058,Planted pastures (perennial)
26905,Planted pastures (perennial)
8941,Planted pastures (perennial)
84756,Fallow
117964,Fallow
73597,Planted pastures (perennial)
11656,Weeds
90899,Planted pastures (perennial)
91745,Weeds
52945,Weeds
107167,Weeds
49301,Lucerne/Medics
7666,Lucerne/Medics
117930,Lucerne/Medics
8128,Lucerne/Medics
8887,Lucerne/Medics
89601,Wine grapes
93784,Wine grapes
122170,Wine grapes
64152,Fallow
117901,Fallow
5514,Fallow
104418,Weeds
115471,Weeds
96715,Weeds
117704,Planted pastures (perennial)
97309,Planted pastures (perennial)
40849,Weeds
25500,Weeds
88462,Weeds
25167,Fallow
65314,Fallow
119793,Rooibos
31701,Rooibos
108417,Planted pastures (perennial)
37633,Planted pastures (perennial)
17169,Planted pastures (perennial)
56613,Fallow
86686,Fallow
86397,Planted pastures (perennial)
84315,Fallow
59622,Planted pastures (perennial)
13517,Fallow
31796,Planted pastures (perennial)
2090,Planted pastures (perennial)
114945,Planted pastures (perennial)
14482,Planted pastures (perennial)
108143,Planted pastures (perennial)
71234,Planted pastures (perennial)
94352,Planted pastures (perennial)
67501,Planted pastures (perennial)
75606,Planted pastures (perennial)
18563,Planted pastures (perennial)
50556,Planted pastures (perennial)
26587,Planted pastures (perennial)
66932,Planted pastures (perennial)
51464,Planted pastures (perennial)
80716,Planted pastures (perennial)
52752,Wine grapes
116521,Planted pastures (perennial)
60827,Planted pastures (perennial)
81070,Planted pastures (perennial)
26179,Planted pastures (perennial)
39001,Weeds
119301,Weeds
2024,Weeds
101416,Weeds
95784,Weeds
73319,Weeds
81688,Rooibos
97076,Rooibos
73424,Planted pastures (perennial)
16295,Planted pastures (perennial)
77293,Planted pastures (perennial)
36699,Fallow
51620,Fallow
89385,Fallow
49975,Rooibos
99834,Rooibos
104031,Rooibos
39958,Small grain grazing
25383,Wheat
71740,Wheat
57313,Wheat
112756,Wheat
25380,Lucerne/Medics
108013,Lucerne/Medics
7712,Lucerne/Medics
113369,Wheat
6990,Wheat
49630,Wheat
63270,Wheat
42334,Wheat
41655,Wheat
41585,Wheat
121430,Wheat
100816,Lucerne/Medics
20351,Wheat
5230,Wheat
22420,Lucerne/Medics
78155,Lucerne/Medics
90531,Wheat
82836,Wheat
120061,Wheat
47614,Planted pastures (perennial)
25635,Lucerne/Medics
30222,Lucerne/Medics
81731,Lucerne/Medics
119510,Lucerne/Medics
68257,Lucerne/Medics
6797,Lucerne/Medics
21704,Lucerne/Medics
104737,Lucerne/Medics
68721,Lucerne/Medics
46956,Lucerne/Medics
60723,Lucerne/Medics
114905,Lucerne/Medics
34080,Lucerne/Medics
24420,Wine grapes
96491,Wine grapes
46154,Lucerne/Medics
7443,Wine grapes
88801,Wine grapes
52951,Wine grapes
89510,Wine grapes
38803,Wine grapes
111581,Wine grapes
912,Wine grapes
122243,Wine grapes
63252,Wine grapes
53161,Wine grapes
92856,Wine grapes
14497,Wine grapes
65220,Wine grapes
36897,Wine grapes
51061,Wine grapes
71345,Wine grapes
29877,Wine grapes
23458,Wine grapes
12840,Wine grapes
73188,Wine grapes
20640,Wine grapes
54009,Wine grapes
40642,Wine grapes
109363,Wine grapes
21286,Wine grapes
83243,Wine grapes
46531,Wine grapes
101232,Wine grapes
19691,Weeds
3687,Wine grapes
99223,Wine grapes
40803,Wine grapes
16640,Wine grapes
49951,Wine grapes
33576,Wine grapes
83285,Wine grapes
9252,Wine grapes
11796,Wine grapes
43334,Wine grapes
115376,Fallow
70093,Wine grapes
53579,Small grain grazing
26149,Planted pastures (perennial)
11856,Lucerne/Medics
13892,Lucerne/Medics
3062,Lucerne/Medics
13125,Wine grapes
